DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-12-22,BRK,GSW,125.0,99.0,26,0.457,0.813,0.429,24,57,0.374,0.652,0.303,26,47,1
2020-12-22,LAL,LAC,109.0,116.0,-7,0.469,0.774,0.31,22,45,0.473,0.737,0.35,22,40,0
2020-12-23,CLE,CHO,121.0,114.0,7,0.529,0.75,0.467,34,50,0.5,0.5329999999999999,0.364,29,32,1
2020-12-23,IND,NYK,121.0,107.0,14,0.489,0.7240000000000001,0.235,28,50,0.459,0.7390000000000001,0.429,25,40,1
2020-12-23,ORL,MIA,113.0,107.0,6,0.477,0.633,0.35700000000000004,23,41,0.506,0.8420000000000001,0.35,25,43,1
2020-12-23,PHI,WAS,113.0,107.0,6,0.471,0.767,0.28600000000000003,22,47,0.459,0.696,0.481,28,40,1
2020-12-23,TOR,NOP,99.0,113.0,-14,0.4270000000000001,0.75,0.304,26,35,0.525,0.5,0.452,30,45,0
2020-12-23,BOS,MIL,122.0,121.0,1,0.475,0.727,0.45,23,37,0.511,0.833,0.4,19,52,1
2020-12-23,CHI,ATL,104.0,124.0,-20,0.414,0.857,0.229,20,37,0.5379999999999999,0.828,0.4,24,46,0
2020-12-23,MEM,SAS,119.0,131.0,-12,0.516,0.611,0.37,27,42,0.505,0.862,0.4,28,48,0
2020-12-23,MIN,DET,111.0,101.0,10,0.4320000000000001,0.857,0.268,25,48,0.484,0.375,0.229,29,44,1
2020-12-23,DEN,SAC,122.0,124.0,-2,0.48,0.833,0.276,28,46,0.441,0.774,0.32299999999999995,27,54,0
2020-12-23,POR,UTA,100.0,120.0,-20,0.402,0.8240000000000001,0.364,23,40,0.457,0.789,0.38,24,59,0
2020-12-23,PHO,DAL,106.0,102.0,4,0.481,0.7040000000000001,0.3670000000000001,21,48,0.424,0.8079999999999999,0.243,17,39,1
2020-12-25,MIA,NOP,111.0,98.0,13,0.507,0.826,0.4320000000000001,29,35,0.397,0.7879999999999999,0.28600000000000003,18,41,1
2020-12-25,MIL,GSW,138.0,99.0,39,0.556,0.6920000000000001,0.556,25,60,0.343,0.84,0.222,14,43,1
2020-12-25,BOS,BRK,95.0,123.0,-28,0.378,0.684,0.29600000000000004,23,47,0.539,0.8390000000000001,0.517,21,43,0
2020-12-25,LAL,DAL,138.0,115.0,23,0.56,0.708,0.487,33,53,0.494,0.769,0.406,20,27,1
2020-12-25,DEN,LAC,108.0,121.0,-13,0.457,0.742,0.306,25,32,0.5539999999999999,0.833,0.5,32,38,0
2020-12-26,MEM,ATL,112.0,122.0,-10,0.398,0.862,0.302,20,46,0.4270000000000001,0.868,0.361,23,54,0
2020-12-26,CHO,OKC,107.0,109.0,-2,0.398,0.625,0.406,27,47,0.455,0.792,0.278,25,54,0
2020-12-26,DET,CLE,119.0,128.0,-9,0.408,0.7190000000000001,0.35600000000000004,24,57,0.485,0.633,0.433,29,51,0
2020-12-26,WAS,ORL,120.0,130.0,-10,0.484,0.536,0.35100000000000003,28,43,0.505,0.7929999999999999,0.355,25,54,0
2020-12-26,NYK,PHI,89.0,109.0,-20,0.386,0.7390000000000001,0.276,19,43,0.466,0.727,0.355,20,47,0
2020-12-26,CHI,IND,106.0,125.0,-19,0.374,0.88,0.41,23,41,0.5589999999999999,0.632,0.34600000000000003,34,49,0
2020-12-26,SAS,TOR,119.0,114.0,5,0.47,0.688,0.412,36,53,0.458,0.733,0.366,32,46,1
2020-12-26,UTA,MIN,111.0,116.0,-5,0.383,0.784,0.294,15,57,0.446,0.722,0.448,21,40,0
2020-12-26,POR,HOU,128.0,126.0,2,0.461,0.652,0.422,27,45,0.517,0.7809999999999999,0.314,27,42,1
2020-12-26,SAC,PHO,106.0,103.0,3,0.453,0.6970000000000001,0.217,20,56,0.418,0.769,0.25,25,40,1
2020-12-27,LAC,DAL,73.0,124.0,-51,0.342,0.85,0.121,13,36,0.494,0.889,0.341,25,54,0
2020-12-27,NOP,SAS,98.0,95.0,3,0.383,0.7240000000000001,0.208,15,56,0.4270000000000001,1.0,0.306,26,47,1
2020-12-27,WAS,ORL,113.0,120.0,-7,0.485,0.846,0.25,27,47,0.435,0.974,0.36,19,45,0
2020-12-27,CHO,BRK,106.0,104.0,2,0.448,0.588,0.294,35,52,0.4270000000000001,0.68,0.362,23,46,1
2020-12-27,CLE,PHI,118.0,94.0,24,0.527,0.813,0.391,31,45,0.418,0.727,0.324,24,39,1
2020-12-27,NYK,MIL,130.0,110.0,20,0.541,0.815,0.593,27,46,0.4320000000000001,0.7240000000000001,0.184,24,44,1
2020-12-27,IND,BOS,108.0,107.0,1,0.511,0.733,0.269,23,37,0.506,0.75,0.391,21,40,1
2020-12-27,CHI,GSW,128.0,129.0,-1,0.512,0.742,0.415,27,54,0.404,0.9,0.383,25,41,0
2020-12-27,SAC,PHO,100.0,116.0,-16,0.474,0.72,0.435,21,39,0.489,0.909,0.4,34,44,0
2020-12-27,LAL,MIN,127.0,91.0,36,0.556,0.778,0.371,32,46,0.369,0.643,0.171,24,48,1
2020-12-28,BRK,MEM,111.0,116.0,-5,0.41,0.882,0.333,28,50,0.429,0.759,0.345,20,56,0
2020-12-28,ATL,DET,128.0,120.0,8,0.488,0.875,0.476,30,45,0.439,0.875,0.317,24,48,1
2020-12-28,OKC,UTA,109.0,110.0,-1,0.465,0.737,0.395,21,37,0.5,0.7859999999999999,0.361,24,43,0
2020-12-28,DEN,HOU,124.0,111.0,13,0.529,0.563,0.452,31,52,0.453,0.7390000000000001,0.41,25,38,1
2020-12-28,LAL,POR,107.0,115.0,-8,0.471,0.833,0.37,20,41,0.467,0.867,0.348,27,45,0
2020-12-29,CLE,NYK,86.0,95.0,-9,0.364,0.682,0.219,22,43,0.43,0.619,0.56,23,55,0
2020-12-29,DET,GSW,106.0,116.0,-10,0.38,0.7929999999999999,0.371,21,45,0.5,0.722,0.424,21,40,0
2020-12-29,IND,BOS,111.0,116.0,-5,0.512,0.813,0.364,27,36,0.5,0.73,0.409,21,43,0
2020-12-29,WAS,CHI,107.0,115.0,-8,0.44,0.885,0.27,25,47,0.4370000000000001,0.75,0.417,26,37,0
2020-12-29,PHI,TOR,100.0,93.0,7,0.381,0.848,0.258,21,54,0.35600000000000004,0.857,0.378,21,47,1
2020-12-29,MIA,MIL,97.0,144.0,-47,0.468,0.667,0.297,23,30,0.5539999999999999,0.867,0.569,32,45,0
2020-12-29,OKC,ORL,107.0,118.0,-11,0.494,0.526,0.324,20,47,0.51,0.813,0.318,26,46,0
2020-12-29,PHO,NOP,111.0,86.0,25,0.44,0.947,0.404,24,43,0.481,0.5,0.125,18,41,1
2020-12-29,SAC,DEN,125.0,115.0,10,0.489,0.773,0.485,33,37,0.5429999999999999,0.8,0.393,27,39,1
2020-12-29,LAC,MIN,124.0,101.0,23,0.534,0.875,0.516,32,46,0.416,0.8240000000000001,0.342,22,39,1
2020-12-30,MIA,MIL,119.0,108.0,11,0.488,0.828,0.385,25,52,0.392,0.923,0.39,26,47,1
2020-12-30,BRK,ATL,145.0,141.0,4,0.54,0.7829999999999999,0.463,30,40,0.475,0.8290000000000001,0.391,27,54,1
2020-12-30,BOS,MEM,126.0,107.0,19,0.5379999999999999,0.857,0.41,27,42,0.43,0.72,0.273,26,46,1
2020-12-30,DAL,CHO,99.0,118.0,-19,0.391,0.5760000000000001,0.28600000000000003,24,39,0.512,0.81,0.441,30,50,0
2020-12-30,SAS,LAL,107.0,121.0,-14,0.46,0.7390000000000001,0.417,25,39,0.561,0.75,0.5379999999999999,25,47,0
2020-12-30,LAC,POR,128.0,105.0,23,0.495,0.727,0.474,30,47,0.421,0.853,0.316,14,41,1
2020-12-31,IND,CLE,119.0,99.0,20,0.483,0.792,0.457,28,44,0.451,0.542,0.522,22,43,1
2020-12-31,WAS,CHI,130.0,133.0,-3,0.5,0.78,0.483,27,37,0.5429999999999999,0.76,0.389,34,44,0
2020-12-31,ORL,PHI,92.0,116.0,-24,0.34700000000000003,0.905,0.25,17,48,0.484,0.867,0.455,23,54,0
2020-12-31,HOU,SAC,122.0,119.0,3,0.523,0.76,0.361,26,45,0.469,0.75,0.333,23,45,1
2020-12-31,TOR,NYK,100.0,83.0,17,0.41,0.7140000000000001,0.327,21,53,0.364,0.8,0.083,21,48,1
2020-12-31,OKC,NOP,80.0,113.0,-33,0.375,0.333,0.313,24,40,0.484,0.632,0.361,23,58,0
2020-12-31,UTA,PHO,95.0,106.0,-11,0.417,0.684,0.353,16,46,0.488,0.7,0.515,26,41,0
2021-01-01,CHO,MEM,93.0,108.0,-15,0.407,0.667,0.29,23,42,0.478,0.8,0.359,34,48,0
2021-01-01,DAL,MIA,93.0,83.0,10,0.41,0.7390000000000001,0.324,18,49,0.3720000000000001,0.72,0.212,20,41,1
2021-01-01,DET,BOS,96.0,93.0,3,0.409,0.65,0.324,18,48,0.47,0.5,0.258,20,44,1
2021-01-01,BRK,ATL,96.0,114.0,-18,0.407,0.826,0.189,19,45,0.462,0.857,0.41,24,48,0
2021-01-01,MIL,CHI,126.0,96.0,30,0.494,0.667,0.489,27,44,0.4370000000000001,0.7,0.231,18,42,1
2021-01-01,MIN,WAS,109.0,130.0,-21,0.477,0.5710000000000001,0.361,17,43,0.551,0.762,0.485,35,43,0
2021-01-01,SAS,LAL,103.0,109.0,-6,0.424,0.6920000000000001,0.382,23,45,0.406,0.813,0.424,27,58,0
2021-01-01,DEN,PHO,103.0,106.0,-3,0.453,0.813,0.414,28,38,0.487,0.905,0.371,24,37,0
2021-01-01,UTA,LAC,106.0,100.0,6,0.461,0.643,0.35700000000000004,28,46,0.388,0.875,0.394,19,43,1
2021-01-01,GSW,POR,98.0,123.0,-25,0.392,0.879,0.2,19,44,0.435,0.767,0.465,23,51,0
2021-01-02,HOU,SAC,102.0,94.0,8,0.444,0.7390000000000001,0.317,15,48,0.389,0.7140000000000001,0.321,11,47,1
2021-01-02,IND,NYK,102.0,106.0,-4,0.405,0.833,0.38,22,32,0.506,0.769,0.444,23,51,0
2021-01-02,ORL,OKC,99.0,108.0,-9,0.37,0.75,0.263,21,55,0.442,0.905,0.317,22,52,0
2021-01-02,PHI,CHO,127.0,112.0,15,0.595,0.708,0.457,35,45,0.413,0.885,0.371,34,40,1
2021-01-02,ATL,CLE,91.0,96.0,-5,0.412,0.526,0.344,22,48,0.418,0.765,0.241,19,46,0
2021-01-02,NOP,TOR,120.0,116.0,4,0.422,0.7659999999999999,0.368,26,50,0.418,0.963,0.292,21,40,1
2021-01-03,DET,BOS,120.0,122.0,-2,0.477,0.88,0.444,29,33,0.563,0.6920000000000001,0.455,35,41,0
2021-01-03,BRK,WAS,122.0,123.0,-1,0.494,0.903,0.438,25,51,0.413,0.735,0.364,27,49,0
2021-01-03,MEM,LAL,94.0,108.0,-14,0.411,0.875,0.273,23,50,0.461,0.737,0.343,24,49,0
2021-01-03,MIN,DEN,109.0,124.0,-15,0.518,0.688,0.32299999999999995,30,36,0.489,0.7140000000000001,0.422,34,43,0
2021-01-03,SAS,UTA,109.0,130.0,-21,0.419,0.7140000000000001,0.316,23,45,0.551,0.579,0.512,29,57,0
2021-01-03,CHI,DAL,118.0,108.0,10,0.459,0.9,0.35100000000000003,16,48,0.438,0.7040000000000001,0.262,23,41,1
2021-01-03,PHO,LAC,107.0,112.0,-5,0.493,0.821,0.303,23,40,0.482,0.789,0.586,24,37,0
2021-01-03,GSW,POR,137.0,122.0,15,0.557,0.765,0.382,23,53,0.418,0.7879999999999999,0.326,16,40,1
2021-01-04,ORL,CLE,103.0,83.0,20,0.4320000000000001,0.923,0.441,22,54,0.388,0.583,0.35700000000000004,20,35,1
2021-01-04,PHI,CHO,118.0,101.0,17,0.484,0.652,0.344,34,55,0.419,0.727,0.333,30,47,1
2021-01-04,ATL,NYK,108.0,113.0,-5,0.46,0.7829999999999999,0.32299999999999995,24,40,0.506,0.8,0.333,26,45,0
2021-01-04,MIA,OKC,118.0,90.0,28,0.568,0.556,0.471,34,47,0.3670000000000001,0.7040000000000001,0.271,20,38,1
2021-01-04,TOR,BOS,114.0,126.0,-12,0.4,0.763,0.35100000000000003,20,37,0.488,0.853,0.517,19,56,0
2021-01-04,HOU,DAL,100.0,113.0,-13,0.39,0.8059999999999999,0.275,17,35,0.476,0.95,0.41,24,51,0
2021-01-04,MIL,DET,125.0,115.0,10,0.5760000000000001,0.813,0.412,32,49,0.439,1.0,0.425,27,31,1
2021-01-04,NOP,IND,116.0,118.0,-2,0.436,0.792,0.333,26,57,0.484,0.6920000000000001,0.422,32,42,0
2021-01-04,GSW,SAC,137.0,106.0,31,0.526,0.857,0.535,41,48,0.378,0.718,0.28600000000000003,20,52,1
2021-01-05,BRK,UTA,130.0,96.0,34,0.5589999999999999,0.75,0.389,31,51,0.384,0.7040000000000001,0.324,17,41,1
2021-01-05,MEM,LAL,92.0,94.0,-2,0.414,0.769,0.385,24,38,0.4370000000000001,0.818,0.29,24,52,0
2021-01-05,DEN,MIN,123.0,116.0,7,0.519,0.733,0.32,22,42,0.462,0.778,0.324,24,42,1
2021-01-05,LAC,SAS,113.0,116.0,-3,0.5,0.923,0.429,29,45,0.458,0.727,0.5,23,44,0
2021-01-05,POR,CHI,108.0,111.0,-3,0.415,0.647,0.373,23,46,0.44,0.833,0.39,27,52,0
2021-01-06,IND,HOU,114.0,107.0,7,0.472,0.8079999999999999,0.391,21,38,0.481,0.8079999999999999,0.267,19,39,1
2021-01-06,ORL,CLE,105.0,94.0,11,0.494,0.722,0.414,20,43,0.424,0.6920000000000001,0.154,24,45,1
2021-01-06,PHI,WAS,141.0,136.0,5,0.617,0.6970000000000001,0.621,33,35,0.5,0.743,0.4320000000000001,27,35,1
2021-01-06,ATL,CHO,94.0,102.0,-8,0.375,0.833,0.175,25,57,0.376,0.818,0.306,22,49,0
2021-01-06,MIA,BOS,105.0,107.0,-2,0.4320000000000001,0.846,0.361,26,42,0.424,0.917,0.343,22,53,0
2021-01-06,NYK,UTA,112.0,100.0,12,0.517,0.737,0.364,22,48,0.44,0.545,0.318,20,42,1
2021-01-06,MIL,DET,130.0,115.0,15,0.544,0.619,0.442,35,47,0.392,0.867,0.317,20,47,1
2021-01-06,NOP,OKC,110.0,111.0,-1,0.494,0.7829999999999999,0.182,25,52,0.46,0.75,0.413,28,38,0
2021-01-06,PHO,TOR,123.0,115.0,8,0.482,0.917,0.525,30,41,0.494,0.7190000000000001,0.4,18,42,1
2021-01-06,GSW,LAC,101.0,108.0,-7,0.453,0.789,0.267,25,35,0.444,1.0,0.324,19,48,0
2021-01-06,SAC,CHI,128.0,124.0,4,0.516,0.741,0.378,30,39,0.527,0.8,0.35,27,43,1
2021-01-07,BRK,PHI,122.0,109.0,13,0.454,0.655,0.405,30,48,0.471,0.9,0.34600000000000003,23,47,1
2021-01-07,MEM,CLE,90.0,94.0,-4,0.434,0.875,0.355,27,48,0.456,0.563,0.433,24,37,0
2021-01-07,DEN,DAL,117.0,124.0,-7,0.443,0.762,0.341,25,47,0.483,0.774,0.4,27,44,0
2021-01-07,LAL,SAS,109.0,118.0,-9,0.5,0.619,0.333,21,48,0.467,0.941,0.457,28,40,0
2021-01-07,POR,MIN,135.0,117.0,18,0.544,0.826,0.439,25,44,0.419,0.758,0.341,24,48,1
2021-01-08,DET,PHO,110.0,105.0,5,0.411,0.862,0.324,23,46,0.451,0.462,0.327,24,50,1
2021-01-08,BOS,WAS,116.0,107.0,9,0.477,0.733,0.375,21,49,0.466,0.875,0.379,22,38,1
2021-01-08,NOP,CHO,110.0,118.0,-8,0.494,0.731,0.395,29,36,0.471,0.8,0.381,33,45,0
2021-01-08,NYK,OKC,89.0,101.0,-12,0.354,0.6,0.333,19,49,0.4370000000000001,0.667,0.324,16,62,0
2021-01-08,HOU,ORL,132.0,90.0,42,0.56,0.727,0.468,34,49,0.382,0.875,0.276,17,42,1
2021-01-08,MEM,BRK,115.0,110.0,5,0.459,0.857,0.406,29,46,0.469,0.952,0.452,26,42,1
2021-01-08,MIL,UTA,118.0,131.0,-13,0.449,0.81,0.31,18,45,0.505,0.615,0.472,31,50,0
2021-01-08,GSW,LAC,115.0,105.0,10,0.488,0.833,0.488,25,38,0.482,0.846,0.452,23,37,1
2021-01-08,LAL,CHI,117.0,115.0,2,0.506,0.852,0.414,21,42,0.505,0.929,0.385,26,41,1
2021-01-08,SAC,TOR,123.0,144.0,-21,0.568,0.5710000000000001,0.441,36,26,0.5820000000000001,0.818,0.513,30,44,0
2021-01-09,PHI,DEN,103.0,115.0,-12,0.417,0.6,0.314,23,48,0.5,0.867,0.364,28,45,0
2021-01-09,CHO,ATL,113.0,105.0,8,0.519,0.75,0.455,27,41,0.382,0.821,0.311,25,47,1
2021-01-09,IND,PHO,117.0,125.0,-8,0.478,0.708,0.414,23,52,0.489,1.0,0.39,33,40,0
2021-01-09,WAS,MIA,124.0,128.0,-4,0.444,0.75,0.375,25,39,0.495,0.769,0.3720000000000001,32,61,0
2021-01-09,MIL,CLE,100.0,90.0,10,0.44,0.778,0.333,25,45,0.414,0.688,0.269,16,47,1
2021-01-09,MIN,SAS,122.0,125.0,-3,0.5,0.647,0.5,29,53,0.436,0.828,0.406,22,48,0
2021-01-09,DAL,ORL,112.0,98.0,14,0.494,0.778,0.5,25,44,0.4270000000000001,0.727,0.194,17,43,1
2021-01-09,SAC,POR,99.0,125.0,-26,0.407,0.7140000000000001,0.267,21,47,0.44,0.87,0.415,26,50,0
2021-01-10,DET,UTA,86.0,96.0,-10,0.333,0.857,0.238,21,39,0.4270000000000001,0.682,0.314,17,63,0
2021-01-10,LAC,CHI,130.0,127.0,3,0.489,0.8,0.526,28,35,0.61,0.882,0.545,30,38,1
2021-01-10,BRK,OKC,116.0,129.0,-13,0.506,0.833,0.294,23,43,0.544,0.941,0.385,24,34,0
2021-01-10,NYK,DEN,89.0,114.0,-25,0.4320000000000001,0.76,0.28600000000000003,19,36,0.536,0.75,0.429,23,43,0
2021-01-10,HOU,LAL,102.0,120.0,-18,0.411,0.696,0.293,22,43,0.505,0.75,0.345,28,49,0
2021-01-10,MIN,SAS,96.0,88.0,8,0.42,0.826,0.34600000000000003,19,52,0.383,0.5710000000000001,0.267,21,45,1
2021-01-10,GSW,TOR,106.0,105.0,1,0.409,0.895,0.28300000000000003,30,51,0.406,0.636,0.342,20,48,1
