Philadelphia 76ers,0.708
Milwaukee Bucks,0.667
Brooklyn Nets,0.56
Boston Celtics,0.545
Indiana Pacers,0.5
Charlotte Hornets,0.48
Atlanta Hawks,0.478
Toronto Raptors,0.458
New York Knicks,0.44
Cleveland Cavaliers,0.4
Miami Heat,0.391
Chicago Bulls,0.391
Orlando Magic,0.375
Washington Wizards,0.286
Detroit Pistons,0.217
Utah Jazz,0.792
Los Angeles Lakers,0.76
Los Angeles Clippers,0.68
Phoenix Suns,0.609
San Antonio Spurs,0.583
Portland Trail Blazers,0.545
Denver Nuggets,0.522
Sacramento Kings,0.522
Golden State Warriors,0.5
Houston Rockets,0.478
Memphis Grizzlies,0.474
New Orleans Pelicans,0.455
Dallas Mavericks,0.44
Oklahoma City Thunder,0.435
Minnesota Timberwolves,0.25